City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
659,Borskoye,RU,76.24,overcast clouds,53.0333,51.7167,Sosnovyy Bor
660,Gamboma,CG,87.42,overcast clouds,-1.8764,15.8644,Residence N'Keni
665,Orange,US,84.88,overcast clouds,33.7,-117.7675,Meadows
666,Zwedru,LR,83.19,light rain,6.0667,-8.1281,Elijah Worjloh
667,Funtua,NG,77.59,light rain,11.5233,7.3081,Sani Jikan Mallam Hotel
669,Pakaur,IN,84.16,broken clouds,24.6333,87.85,Jannisar Ansari
670,Hambantota,LK,78.84,broken clouds,6.1241,81.1185,Bungalow 63
673,Fereydun Kenar,IR,85.3,scattered clouds,36.6864,52.5225,Khezer Shahr Tourist Hotel
674,Honiara,SB,76.32,overcast clouds,-9.4333,159.95,Heritage Park Hotel
675,Alexandria,EG,81.99,clear sky,31.2156,29.9553,Royal Crown Hotel
676,Bryukhovetskaya,RU,80.35,overcast clouds,45.806,38.9996,"Gostinitsa ""Kameliia"""
677,Jega,NG,87.03,overcast clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
678,Sholapur,IN,80.62,overcast clouds,17.6833,75.9167,STARiHOTELS Nilanagar Solapur
681,Kalianget,ID,80.37,scattered clouds,-7.05,113.9333,Pesanggrahan Garam
682,Nantucket,US,82.74,overcast clouds,41.2835,-70.0995,Jared Coffin House
684,Lingao,CN,83.8,light rain,19.9103,109.6859,Lingao Ditai Inn
